62.54,62.54,15.62,24.51,68.79
61.33,61.33,14.86,20.90,72.32
64.59,64.59,16.33,24.32,70.33
60.79,60.79,19.02,21.33,73.82
59.62,59.62,14.99,19.41,73.10
58.71,58.71,14.68,22.48,71.99
57.20,57.20,16.05,23.50,74.64
58.30,58.30,14.97,26.20,71.41
60.06,60.06,14.08,24.34,75.88
63.17,63.17,11.97,18.22,70.13
63.45,63.45,14.73,26.23,73.40
65.16,65.16,17.06,26.23,71.78
64.70,64.70,16.94,21.57,70.77
63.64,63.64,11.08,22.26,71.84
63.49,63.49,10.77,25.26,72.91
61.24,61.24,10.21,21.19,72.21
59.79,59.79,11.62,24.54,73.25
59.35,59.35,13.42,22.30,72.76
57.70,57.70,11.46,21.52,70.67
57.77,57.77,12.58,19.35,71.97
60.51,60.51,12.32,17.61,71.06
59.75,59.75,12.81,24.09,69.59
61.59,61.59,11.62,19.02,72.27
58.14,58.14,13.00,26.57,68.93
58.96,58.96,11.19,26.47,71.45
58.32,58.32,12.26,26.66,71.25
60.28,60.28,12.08,27.28,71.69
59.75,59.75,11.27,29.11,73.34
60.48,60.48,9.99,23.84,73.58
60.79,60.79,11.27,29.17,75.76
59.66,59.66,12.01,23.44,72.62
62.71,62.71,8.30,22.74,78.74
63.43,63.43,10.90,25.71,69.25
63.27,63.27,12.08,21.57,79.77
64.47,64.47,17.01,26.59,74.03
63.02,63.02,18.39,25.03,75.44
60.83,60.83,15.86,23.84,73.94
65.29,65.29,14.03,18.71,66.42
66.98,66.98,14.55,19.75,72.72
67.95,67.95,12.77,14.06,69.94
66.95,66.95,12.51,20.64,67.68
64.01,64.01,12.62,21.60,68.75
57.42,57.42,12.78,17.14,69.60
59.37,59.37,12.88,15.57,65.73
63.12,63.12,16.43,22.90,69.58
66.10,66.10,18.37,27.72,62.51
63.94,63.94,21.20,27.30,63.93
65.83,65.83,18.24,15.74,63.78
66.34,66.34,18.64,22.25,64.72
62.81,62.81,17.95,19.08,70.11
58.36,58.36,18.57,21.39,65.05
59.36,59.36,21.91,22.78,68.51
57.24,57.24,20.83,24.28,68.29
56.34,56.34,17.28,23.33,64.20
58.34,58.34,15.85,29.84,74.83
60.38,60.38,18.37,30.69,72.21
58.96,58.96,19.67,25.75,76.18
61.18,61.18,18.88,27.33,74.97
66.76,66.76,19.03,32.26,75.92
67.28,67.28,18.45,31.82,77.27
67.10,67.10,15.29,20.73,72.76
61.52,61.52,14.14,23.19,75.37
56.79,56.79,13.33,19.95,70.29
57.67,57.67,15.23,18.36,68.89
55.86,55.86,13.08,14.17,69.94
64.37,64.37,12.71,21.16,68.89
66.44,66.44,13.79,26.47,68.84
68.44,68.44,18.61,30.05,71.02
68.61,68.61,14.18,29.09,71.17
69.80,69.80,14.77,25.51,65.94
69.96,69.96,12.99,24.42,68.70
69.71,69.71,15.59,23.73,65.08
67.97,67.97,14.61,19.59,70.10
65.03,65.03,16.01,18.00,64.16
64.40,64.40,18.02,22.93,71.06
64.28,64.28,17.75,20.46,64.43
64.51,64.51,16.28,16.98,73.18
63.08,63.08,16.57,23.29,69.71
66.48,66.48,15.29,24.29,73.43
64.91,64.91,17.83,25.69,71.53
64.52,64.52,20.53,25.71,73.97
63.47,63.47,19.82,25.66,67.62
65.01,65.01,17.90,24.18,77.96
66.34,66.34,17.64,24.50,68.90
65.46,65.46,19.04,22.69,75.59
63.92,63.92,17.42,21.06,71.52
62.98,62.98,19.11,19.39,74.32
60.15,60.15,17.75,19.07,73.04
63.37,63.37,18.07,18.12,75.17
65.30,65.30,20.32,19.24,73.03
62.85,62.85,22.04,21.02,74.19
64.98,64.98,21.00,26.97,71.48
68.02,68.02,28.16,23.67,73.27
64.93,64.93,27.25,23.94,68.91
65.49,65.49,23.13,20.07,71.80
68.45,68.45,31.99,21.64,69.67
69.51,69.51,25.27,18.66,66.46
71.35,71.35,23.44,20.55,70.13
75.25,75.25,25.34,23.41,71.62
76.99,76.99,18.64,25.55,73.28
77.24,77.24,23.01,25.49,75.56
76.72,76.72,21.22,25.81,75.23
74.91,74.91,21.81,27.05,74.68
74.00,74.00,17.74,17.97,75.68
70.03,70.03,20.32,21.73,74.33
